,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude
197,DUKUH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13550,-6.29181195,106.87577555
198,PINANG RANTI,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13560,-6.29254538625828,106.877197785317
199,MAKASAR,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13570,-6.272073125,106.877879725
200,HALIM PERDANA KUSUMAH,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13610,-6.25249049142316,106.887285406192
201,CIPINANG MELAYU,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13620,-6.26242769068133,106.891281743206
202,CAWANG,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13630,-6.25303325477308,106.870180138787
203,CILILITAN,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13640,-6.26403067333419,106.866027102269
204,KEBON PALA,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13650,-6.2672191,106.8793434
205,PEKAYON,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13710,-8.7996802,115.1506101
206,CIBUBUR,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13720,-6.36236125988868,106.890956667284
207,KELAPA DUA WETAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13730,-8.7996802,115.1506101
208,CIRACAS,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13740,-6.32642543743258,106.879494794934
209,SUSUKAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13750,-8.7996802,115.1506101
210,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13760,-6.29903120979939,106.85953015983
211,CIJANTUNG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13770,-6.31307600768223,106.860689277655
212,BARU,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13780,-8.7996802,115.1506101
213,KALISARI,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13790,-6.33277871776796,106.857442823574
214,LUBANG BUAYA,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13810,-6.28951243650278,106.89865317629
215,CEGER,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13820,-6.3030413,106.8919429
216,RAMBUTAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13830,-8.7996802,115.1506101
217,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13840,-6.3059999,106.9137103
218,MUNJUL,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13850,-6.35340976442226,106.90291828523
219,PONDOK RANGON,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13860,-8.7996802,115.1506101
220,CILANGKAP,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13870,-8.7996802,115.1506101
221,SETU,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13880,-6.30282695,106.88603985
222,BAMBU APUS,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13890,-6.3121683,106.89613495
223,CAKUNG BARAT,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13910,-6.1802046,106.9445434
224,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13910,-6.1802046,106.9445434
225,RAWA TERATE,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13920,-6.18462414737768,106.922095125424
226,JATINEGARA,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13930,-6.22912835693266,106.869626621141
227,PENGGILINGAN,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13940,-6.20558593333333,106.9390487
