,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude,Note
151,TEBET TIMUR,TEBET,JAKARTA SELATAN,DKI JAKARTA,12820,-6.2343673865119,106.855899651953,"12820 Jakarta, Indonesia"
152,KEBON BARU,TEBET,JAKARTA SELATAN,DKI JAKARTA,12830,-6.22949164506115,106.859613727368,"12830 Jakarta, Indonesia"
153,BUKIT DURI,TEBET,JAKARTA SELATAN,DKI JAKARTA,12840,-6.22159888282918,106.857688993152,"12840 Jakarta, Indonesia"
154,MANGGARAI,TEBET,JAKARTA SELATAN,DKI JAKARTA,12850,-6.21202836311504,106.847971632872,"12850 Jakarta, Indonesia"
155,MANGGARAI SELATAN,TEBET,JAKARTA SELATAN,DKI JAKARTA,12860,-6.22007727575719,106.849791854432,"12860 Jakarta, Indonesia"
156,MENTENG DALAM,TEBET,JAKARTA SELATAN,DKI JAKARTA,12870,-6.2265382,106.8418923,"12870 Jakarta, Indonesia"
157,SETIABUDI,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12910,-6.225604,106.8329316,"12910 Jakarta, Indonesia"
158,KARET,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12920,-6.22188093199923,106.831344566178,"12920 Jakarta, Indonesia"
159,KARET SEMANGGI,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12930,-6.22345296562002,106.817081306641,"12930 Jakarta, Indonesia"
160,KARET KUNINGAN,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12940,-6.23926304574184,106.827511888396,"12940 Jakarta, Indonesia"
161,KUNINGAN TIMUR,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12950,-6.23074515443097,106.822980758298,"12950 Jakarta, Indonesia"
162,MENTENG ATAS,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12960,-6.21940631509053,106.836904776383,"12960 Jakarta, Indonesia"
163,PASAR MANGGIS,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12970,-6.21632515765704,106.837489765713,"12970 Jakarta, Indonesia"
164,GUNTUR,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12980,-6.20704844488206,106.832470402081,"12980 Jakarta, Indonesia"
165,PISANGAN BARU,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13110,-6.21157922809269,106.86450224279,"13110 Jakarta, Indonesia"
166,UTAN KAYU SELATAN,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13120,-6.19571813914728,106.86903883976,"13120 Jakarta, Indonesia"
167,UTAN KAYU UTARA,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13120,-6.19571813914728,106.86903883976,"13120 Jakarta, Indonesia"
168,KAYU MANIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13130,-6.19691919447,106.868977344818,"13130 Jakarta, Indonesia"
169,PAL MERIAM,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13140,-6.20226945,106.85653815,"13140 Jakarta, Indonesia"
170,KEBON MANGGIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13150,-8.7996802,115.1506101,"13150 Jakarta, Indonesia"
171,KAYU PUTIH,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13210,-6.1821061865514,106.88912006033,"13210 Jakarta, Indonesia"
172,JATI,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13220,-6.20019440130273,106.884518939471,"13220 Jakarta, Indonesia"
173,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13220,-6.20019440130273,106.884518939471,"13220 Jakarta, Indonesia"
174,PISANGAN TIMUR,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13230,-6.20818094032988,106.87877224841,"13230 Jakarta, Indonesia"
175,CIPINANG,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13240,-6.26210468456635,106.882172902084,"13240 Jakarta, Indonesia"
176,JATINEGARA KAUM,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13250,-6.19261200259672,106.892226515377,"13250 Jakarta, Indonesia"
177,PULO GADUNG,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13260,-6.2190104,106.8804074,"13260 Jakarta, Indonesia"
